iaq,tvoc,etoh,iaq_rel,temp,hum,delta30s_iaq,delta30s_tvoc,delta30s_etoh,delta30s_iaq_rel,delta30s_temp,delta30s_hum,target_iaq_1min
1.0,0.0099,0.0186,84.4491,35.31,64.38,0.0,-0.0024999999999999988,-0.004800000000000002,-4.797699999999992,0.23000000000000398,-0.45000000000000284,1.0578
1.0,0.0097,0.0183,83.8388,35.32,64.27,0.0,-0.0023999999999999994,-0.004400000000000001,-4.856799999999993,0.18999999999999773,-0.730000000000004,1.1753
1.0,0.0096,0.0181,83.2741,35.32,64.19,0.0,-0.002100000000000001,-0.0038999999999999972,-4.993299999999991,0.17999999999999972,-0.6000000000000085,1.2627
1.0,0.0095,0.0179,82.6649,35.35,64.13,0.0,-0.0019000000000000006,-0.0034999999999999996,-5.0549000000000035,0.17999999999999972,-0.5600000000000023,1.2935
1.0,0.0094,0.0177,82.084,35.35,64.06,0.0,-0.0017000000000000001,-0.003199999999999998,-5.048699999999997,0.1600000000000037,-0.5300000000000011,1.2656
1.0,0.0093,0.0175,81.5113,35.36,63.92,0.0,-0.0015000000000000013,-0.0029,-5.072199999999995,0.14999999999999858,-0.5900000000000034,1.2403
1.0,0.0092,0.0173,80.9673,35.39,63.85,0.0,-0.0014000000000000002,-0.002700000000000001,-5.3095,0.1700000000000017,-0.9799999999999969,1.2175
1.0,0.0091,0.0172,80.4012,35.4,63.82,0.0,-0.001299999999999999,-0.0023999999999999994,-5.520699999999991,0.1599999999999966,-0.9100000000000037,1.1968
1.0,0.0091,0.017,79.8706,35.42,63.78,0.0,-0.0011000000000000003,-0.002199999999999997,-5.601100000000002,0.1600000000000037,-0.8700000000000045,1.178
1.0,0.009,0.0169,79.3516,35.43,63.69,0.0,-0.0010000000000000009,-0.0020000000000000018,-5.615899999999996,0.14000000000000057,-0.8500000000000085,1.1611
1.0,0.0089,0.0168,78.8836,35.45,63.66,0.0,-0.0010000000000000009,-0.0017999999999999995,-5.5655,0.14000000000000057,-0.7199999999999989,1.1458
1.0,0.0089,0.0167,78.4578,35.47,63.61,0.0,-0.0008000000000000004,-0.0016000000000000007,-5.381,0.14999999999999858,-0.6599999999999966,1.1319
1.0,0.0088,0.0166,78.0831,35.46,63.84,0.0,-0.0007999999999999986,-0.0015000000000000013,-5.1910000000000025,0.14000000000000057,-0.3499999999999943,1.1193
1.0,0.0088,0.0166,77.7937,35.47,64.01,0.0,-0.0006999999999999992,-0.001299999999999999,-4.871200000000002,0.11999999999999744,-0.11999999999999034,1.108
1.0,0.0088,0.0165,77.4754,35.5,63.78,0.0,-0.0005999999999999998,-0.0011999999999999997,-4.60860000000001,0.14999999999999858,-0.28000000000000114,1.0977
1.0,0.0087,0.0164,79.615,35.61,71.34,0.0,-0.0005999999999999998,-0.0011000000000000003,-1.8963000000000108,0.25,7.420000000000002,1.0884
1.0,0.0089,0.0167,80.7837,35.53,69.29,0.0,-0.0002999999999999999,-0.0005999999999999998,-0.18359999999999843,0.14000000000000057,5.440000000000005,1.08
1.0,0.0089,0.0168,81.4169,35.56,68.03,0.0,-0.00020000000000000052,-0.00040000000000000105,1.0156999999999954,0.1600000000000037,4.210000000000001,1.0724
1.0,0.0089,0.0167,81.4124,35.59,66.65,0.0,-0.00020000000000000052,-0.00030000000000000165,1.5418000000000092,0.1700000000000017,2.8700000000000045,1.0655
1.0,0.0088,0.0166,81.2468,35.6,65.87,0.0,-0.0001999999999999988,-0.0002999999999999982,1.8951999999999884,0.1700000000000017,2.180000000000007,1.0593
1.0578,0.0171,0.0322,85.2728,35.61,65.86,0.057800000000000074,0.0082,0.0154,6.389200000000002,0.1599999999999966,2.200000000000003,1.0536
1.1753,0.0375,0.0705,90.6057,35.68,75.8,0.1753,0.0286,0.053799999999999994,12.147899999999993,0.21000000000000085,12.189999999999998,1.0485
1.2627,0.0511,0.0961,92.4845,35.57,73.5,0.26269999999999993,0.0423,0.0795,14.401399999999995,0.10999999999999943,9.659999999999997,1.0439
1.2935,0.0551,0.1036,92.7494,35.64,70.17,0.2935000000000001,0.0463,0.087,14.955699999999993,0.1700000000000017,6.159999999999997,1.0397
1.2656,0.0529,0.0994,92.2803,35.67,68.52,0.26560000000000006,0.0441,0.0829,14.804900000000004,0.1700000000000017,4.739999999999995,1.0359
1.2403,0.0489,0.0918,91.2924,35.7,67.14,0.24029999999999996,0.0402,0.07540000000000001,11.677400000000006,0.09000000000000341,-4.200000000000003,1.0325
1.2175,0.045,0.0846,89.9916,35.7,66.0,0.21750000000000003,0.0361,0.06789999999999999,9.20790000000001,0.1700000000000017,-3.2900000000000063,1.0294
1.1968,0.0415,0.0781,88.6408,35.74,65.41,0.19680000000000009,0.032600000000000004,0.06130000000000001,7.2239,0.17999999999999972,-2.6200000000000045,1.0266
1.178,0.0384,0.0721,87.3404,35.74,64.84,0.17799999999999994,0.0295,0.0554,5.927999999999997,0.14999999999999858,-1.8100000000000023,1.0241
1.1611,0.0355,0.0668,85.955,35.75,64.32,0.16110000000000002,0.026699999999999995,0.050199999999999995,4.708200000000005,0.14999999999999858,-1.5500000000000114,1.0218
1.1458,0.0329,0.0619,84.5618,35.75,63.85,0.08799999999999986,0.015799999999999998,0.029699999999999997,-0.7109999999999985,0.14000000000000057,-2.009999999999998,1.0197
1.1319,0.0306,0.0575,83.2952,35.78,63.7,-0.043400000000000105,-0.0069,-0.01299999999999999,-7.310500000000005,0.10000000000000142,-12.099999999999994,1.0178
1.1193,0.0285,0.0536,82.106,35.81,63.53,-0.14339999999999997,-0.0226,-0.0425,-10.378500000000003,0.240000000000002,-9.969999999999999,1.0162
1.108,0.0266,0.05,80.9897,35.82,63.34,-0.1855,-0.028500000000000004,-0.053599999999999995,-11.759699999999995,0.17999999999999972,-6.829999999999998,1.0146
1.0977,0.0248,0.0467,79.879,35.82,63.13,-0.16790000000000016,-0.028100000000000003,-0.052700000000000004,-12.401299999999992,0.14999999999999858,-5.3899999999999935,1.0132
1.0884,0.0233,0.0438,78.8507,35.84,62.96,-0.15189999999999992,-0.025599999999999998,-0.04800000000000001,-12.441699999999997,0.14000000000000057,-4.18,1.012
1.08,0.0219,0.0411,77.7358,35.81,62.84,-0.13749999999999996,-0.0231,-0.0435,-12.255800000000008,0.10999999999999943,-3.1599999999999966,1.0108
1.0724,0.0206,0.0387,76.7532,35.8,62.84,-0.12440000000000007,-0.020900000000000002,-0.039400000000000004,-11.887599999999992,0.05999999999999517,-2.569999999999993,1.0098
1.0655,0.0194,0.0365,75.8655,35.8,62.81,-0.11250000000000004,-0.018999999999999996,-0.0356,-11.474900000000005,0.05999999999999517,-2.030000000000001,1.0089
1.0593,0.0184,0.0345,74.9059,35.84,62.8,-0.10180000000000011,-0.017099999999999997,-0.032299999999999995,-11.049099999999996,0.09000000000000341,-1.519999999999996,1.008
1.0536,0.0174,0.0328,74.2722,35.67,63.61,-0.09219999999999984,-0.0155,-0.029099999999999994,-10.289600000000007,-0.0799999999999983,-0.240000000000002,1.0073
1.0485,0.0166,0.0311,73.6607,35.74,63.52,-0.08339999999999992,-0.013999999999999999,-0.026400000000000003,-9.634499999999989,-0.03999999999999915,-0.17999999999999972,1.0066
1.0439,0.0158,0.0297,73.0995,35.74,63.66,-0.07539999999999991,-0.0127,-0.0239,-9.006499999999988,-0.07000000000000028,0.12999999999999545,1.0059
1.0397,0.0151,0.0284,72.5477,35.74,63.51,-0.06830000000000003,-0.011499999999999998,-0.0216,-8.441999999999993,-0.0799999999999983,0.1699999999999946,1.0054
1.0359,0.0145,0.0272,72.0342,35.75,63.39,-0.061799999999999855,-0.010299999999999998,-0.0195,-7.844800000000006,-0.07000000000000028,0.259999999999998,1.0049
1.0325,0.0139,0.0261,71.5202,35.8,63.32,-0.05590000000000006,-0.009400000000000002,-0.017699999999999997,-7.330500000000001,-0.04000000000000625,0.35999999999999943,1.0044
1.0294,0.0134,0.0251,70.9919,35.78,63.19,-0.05059999999999998,-0.008499999999999999,-0.015999999999999997,-6.7438999999999965,-0.030000000000001137,0.3499999999999943,1.004
1.0266,0.0129,0.0242,70.4577,35.81,63.06,-0.04580000000000006,-0.0077,-0.014499999999999999,-6.295500000000004,0.010000000000005116,0.21999999999999886,1.0036
1.0241,0.0125,0.0234,69.8854,35.84,63.03,-0.04139999999999988,-0.0069,-0.013099999999999997,-5.980099999999993,0.04000000000000625,0.21999999999999886,1.0033
1.0218,0.0121,0.0227,69.2587,35.84,62.89,-0.03749999999999987,-0.0063,-0.011800000000000001,-5.647199999999998,0.0,0.09000000000000341,1.003
1.0197,0.0117,0.022,68.7732,35.84,62.85,-0.03390000000000004,-0.0056999999999999985,-0.010800000000000004,-5.498999999999995,0.1700000000000017,-0.759999999999998,1.0027
1.0178,0.0114,0.0214,68.28,35.85,62.75,-0.03069999999999995,-0.0052,-0.0097,-5.3807000000000045,0.10999999999999943,-0.7700000000000031,1.0024
1.0162,0.0111,0.0209,67.8316,35.81,62.67,-0.027700000000000058,-0.004700000000000001,-0.008800000000000002,-5.267900000000012,0.07000000000000028,-0.9899999999999949,1.0022
1.0146,0.0109,0.0204,67.4233,35.84,62.75,-0.025100000000000122,-0.004200000000000001,-0.008,-5.1244000000000085,0.10000000000000142,-0.759999999999998,1.002
1.0132,0.0106,0.02,67.0005,35.84,62.6,-0.022699999999999942,-0.0039000000000000007,-0.007199999999999998,-5.033699999999996,0.09000000000000341,-0.7899999999999991,1.0018
1.012,0.0104,0.0196,66.5811,35.84,62.6,-0.020499999999999963,-0.0034999999999999996,-0.006500000000000002,-4.939099999999996,0.04000000000000625,-0.7199999999999989,1.0016
1.0108,0.0102,0.0192,66.2042,35.82,62.6,-0.018600000000000172,-0.0031999999999999997,-0.0059000000000000025,-4.787700000000001,0.03999999999999915,-0.5899999999999963,1.0015
1.0098,0.01,0.0189,65.891,35.85,62.61,-0.016799999999999926,-0.0029,-0.005299999999999999,-4.566699999999997,0.03999999999999915,-0.45000000000000284,1.0013
1.0089,0.0099,0.0186,65.5115,35.84,62.65,-0.015200000000000102,-0.0026,-0.004800000000000002,-4.373900000000006,0.0,-0.38000000000000256,1.0012
1.008,0.0097,0.0183,65.2033,35.86,62.58,-0.013800000000000034,-0.0023999999999999994,-0.004400000000000001,-4.055400000000006,0.01999999999999602,-0.3100000000000023,1.0011
1.0073,0.0096,0.0181,64.8981,35.86,62.51,-0.012399999999999967,-0.002100000000000001,-0.0038999999999999972,-3.8751000000000033,0.01999999999999602,-0.3400000000000034,1.001
1.0066,0.0095,0.0179,64.5431,35.89,62.44,-0.011200000000000099,-0.0019000000000000006,-0.0034999999999999996,-3.7369000000000057,0.03999999999999915,-0.3100000000000023,1.0009
1.0059,0.0094,0.0177,64.2214,35.88,62.41,-0.010299999999999976,-0.0017000000000000001,-0.003199999999999998,-3.610199999999992,0.07000000000000028,-0.2600000000000051,1.0008
1.0054,0.0093,0.0175,63.9271,35.92,62.4,-0.009199999999999875,-0.0016000000000000007,-0.0029,-3.4961999999999946,0.0799999999999983,-0.3500000000000014,1.0007
1.0049,0.0092,0.0173,63.645,35.93,62.34,-0.008300000000000196,-0.0014000000000000002,-0.002700000000000001,-3.3554999999999993,0.0899999999999963,-0.259999999999998,1.0007
1.0044,0.0091,0.0172,63.3959,35.93,62.29,-0.007600000000000051,-0.001299999999999999,-0.0023999999999999994,-3.185200000000009,0.0899999999999963,-0.3100000000000023,1.0006
1.004,0.0091,0.0171,63.1183,35.96,62.27,-0.006799999999999917,-0.0011000000000000003,-0.0020999999999999977,-3.0859000000000023,0.14000000000000057,-0.3299999999999983,1.0005
1.0036,0.009,0.0169,62.866,35.96,62.25,-0.006199999999999983,-0.0010000000000000009,-0.0020000000000000018,-3.0250000000000057,0.10999999999999943,-0.35999999999999943,1.0005
1.0033,0.0089,0.0168,62.6533,35.95,62.29,-0.005599999999999827,-0.0010000000000000009,-0.0017999999999999995,-2.8581999999999965,0.10999999999999943,-0.35999999999999943,1.0004
1.003,0.0089,0.0167,62.4092,35.98,62.3,-0.0050000000000001155,-0.0008000000000000004,-0.0016000000000000007,-2.7941000000000003,0.11999999999999744,-0.28000000000000114,1.0004
1.0027,0.0088,0.0166,62.1491,35.98,62.23,-0.0046000000000001595,-0.0007999999999999986,-0.0015000000000000013,-2.7490000000000023,0.11999999999999744,-0.28000000000000114,1.0004
1.0024,0.0088,0.0166,61.967,36.0,62.22,-0.0041999999999999815,-0.0006999999999999992,-0.001299999999999999,-2.5760999999999967,0.10999999999999943,-0.21999999999999886,1.0003
1.0022,0.0088,0.0165,61.7654,36.02,62.17,-0.0037000000000000366,-0.0005999999999999998,-0.0011999999999999997,-2.456000000000003,0.14000000000000057,-0.23999999999999488,1.0003
1.002,0.0087,0.0164,61.5861,36.05,62.12,-0.0034000000000000696,-0.0005999999999999998,-0.0011000000000000003,-2.341000000000001,0.12999999999999545,-0.28000000000000114,1.0003
1.0018,0.0087,0.0164,61.413,36.06,62.07,-0.0030999999999998806,-0.0005000000000000004,-0.000899999999999998,-2.2320000000000064,0.13000000000000256,-0.2700000000000031,1.0002
1.0016,0.0087,0.0163,61.2595,36.05,62.27,-0.0027999999999999137,-0.00040000000000000105,-0.0009000000000000015,-2.1363999999999947,0.11999999999999744,-0.01999999999999602,1.0002
1.0015,0.0086,0.0163,61.0933,36.09,62.22,-0.0024999999999999467,-0.0005000000000000004,-0.0008000000000000021,-2.0249999999999986,0.13000000000000256,-0.05000000000000426,1.0002
1.0013,0.0086,0.0162,60.8562,36.12,62.01,-0.0022999999999999687,-0.0003999999999999993,-0.0006999999999999992,-2.0097999999999985,0.1599999999999966,-0.240000000000002,1.0002
1.0012,0.0086,0.0162,60.6269,36.13,61.89,-0.0020999999999999908,-0.0002999999999999999,-0.0005999999999999998,-2.0264000000000024,0.17999999999999972,-0.3999999999999986,1.0002
1.0011,0.0086,0.0161,60.4321,36.17,61.8,-0.0018999999999997907,-0.0002999999999999999,-0.0005999999999999998,-1.9771,0.19000000000000483,-0.5,1.0001
1.001,0.0086,0.0161,60.2568,36.17,61.73,-0.0017000000000000348,-0.00020000000000000052,-0.0005000000000000004,-1.8922999999999988,0.19000000000000483,-0.5,1.0001
1.0009,0.0085,0.0161,60.1671,36.13,62.18,-0.0015000000000000568,-0.0002999999999999999,-0.0005000000000000004,-1.799900000000001,0.13000000000000256,-0.03999999999999915,1.0001
1.0008,0.0085,0.016,60.1045,36.17,62.14,-0.0014000000000000679,-0.0002999999999999999,-0.0005000000000000004,-1.660899999999998,0.14999999999999858,-0.030000000000001137,1.0001
1.0007,0.0085,0.016,60.0029,36.2,62.0,-0.0013000000000000789,-0.0001999999999999988,-0.00040000000000000105,-1.583200000000005,0.15000000000000568,-0.11999999999999744,1.0001
1.0007,0.0085,0.016,59.8641,36.2,61.9,-0.001100000000000101,-0.0001999999999999988,-0.00040000000000000105,-1.5488999999999962,0.14000000000000057,-0.1700000000000017,1.0001
1.0006,0.0085,0.016,59.7594,36.21,61.85,-0.001000000000000112,-0.0001999999999999988,-0.0002999999999999982,-1.5001000000000033,0.1600000000000037,-0.4200000000000017,1.0001
1.0005,0.0085,0.016,59.6072,36.22,61.78,-0.001000000000000112,-9.99999999999994e-05,-0.0002999999999999982,-1.4861000000000004,0.12999999999999545,-0.4399999999999977,1.0001
1.0005,0.0085,0.0159,59.4902,36.25,61.69,-0.0008000000000001339,-9.99999999999994e-05,-0.0002999999999999982,-1.3659999999999997,0.13000000000000256,-0.3200000000000003,1.0001
1.0004,0.0085,0.0159,59.3429,36.25,61.6,-0.0008000000000001339,-9.99999999999994e-05,-0.0002999999999999982,-1.283999999999999,0.11999999999999744,-0.28999999999999915,1.0001
1.0004,0.0085,0.0159,59.1772,36.27,61.55,-0.000700000000000145,-9.99999999999994e-05,-0.0001999999999999988,-1.2548999999999992,0.10000000000000142,-0.25,1.0001
1.0004,0.0085,0.0159,59.0305,36.29,61.51,-0.0005999999999999339,-9.99999999999994e-05,-0.0001999999999999988,-1.2262999999999948,0.11999999999999744,-0.21999999999999886,1.0
1.0003,0.0085,0.0159,58.8265,36.28,61.45,-0.0005999999999999339,0.0,-0.0001999999999999988,-1.340599999999995,0.14999999999999858,-0.7299999999999969,1.0
1.0003,0.0084,0.0159,58.7106,36.22,61.83,-0.0004999999999999449,-0.00010000000000000113,-9.99999999999994e-05,-1.3939000000000021,0.04999999999999716,-0.3100000000000023,1.0
1.0003,0.0084,0.0159,58.5522,36.24,61.84,-0.00039999999999995595,-0.00010000000000000113,-9.99999999999994e-05,-1.4506999999999977,0.03999999999999915,-0.1599999999999966,1.0
1.0002,0.0084,0.0159,58.4335,36.25,61.82,-0.0004999999999999449,-0.00010000000000000113,-9.99999999999994e-05,-1.4305999999999983,0.04999999999999716,-0.0799999999999983,1.0
1.0002,0.0084,0.0159,58.2624,36.24,61.7,-0.00039999999999995595,-0.00010000000000000113,-9.99999999999994e-05,-1.4969999999999999,0.030000000000001137,-0.14999999999999858,1.0
1.0002,0.0084,0.0159,58.1021,36.25,61.63,-0.00029999999999996696,-0.00010000000000000113,-9.99999999999994e-05,-1.5050999999999988,0.030000000000001137,-0.14999999999999858,1.0
1.0002,0.0084,0.0158,57.9368,36.28,61.6,-0.00029999999999996696,-0.00010000000000000113,-9.99999999999994e-05,-1.5534000000000034,0.030000000000001137,-0.0899999999999963,1.0
1.0002,0.0084,0.0158,57.7798,36.29,61.58,-0.00019999999999997797,-0.00010000000000000113,-9.99999999999994e-05,-1.5630999999999986,0.03999999999999915,-0.020000000000003126,1.0
1.0001,0.0084,0.0158,57.5882,36.29,61.47,-0.00029999999999996696,-0.00010000000000000113,-9.99999999999994e-05,-1.5889999999999986,0.01999999999999602,-0.0799999999999983,1.0
